motivo_rejeicao,nome_original_csv,nome_limpo,estado,data_publicacao,tipo_ato,cargo,orgao,fonte_url,arquivo_markdown,arquivo_csv,linha_csv
tem_numero;inicio_suspeito;frase_administrativa;termo_administrativo;muito_longo,VINCULADA À GERÊNCIA DE GESTÃO DE PESSOAS - GEGEP. (PROCESSO Nº SEI- 220002/000087/2025),VINCULADA À GERÊNCIA DE GESTÃO DE PESSOAS - GEGEP. (PROCESSO Nº SEI- 220002/000087/2025),RJ,2025-05-09,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG5wbmQwMXJVVEZOVlZWMFRUQlZNVTFETURCT1JGazFURlZKZDAxRVdYUlJhbU13VG5wamVVMVVhM3BOZWs1R1RWUmpNMDU2VlhoT2FrRTFUVUU5UFE9PQ==,LAKE\RJ\2025\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-05-09.md,saida\RJ\DOERJ_2025.csv,6289
inicio_suspeito;termo_administrativo,DESTA IMPRENSA OFICIAL DO ESTADO DO RIO DE JANEIRO - IOERJ,DESTA IMPRENSA OFICIAL DO ESTADO DO RIO DE JANEIRO - IOERJ,RJ,2025-05-07,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFVSWk1rNXFhekZOVkZGMFRtdFZNRkpwTURCTmEwMTVURlJyTTFGVldYUk9hbEpHVFdwSk5WRlZVa2RSVkVreVRWUmpNMDU2VlhoT2FrVXdUVkU5UFE9PQ==,LAKE\RJ\2025\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-05-07.md,saida\RJ\DOERJ_2025.csv,6359
inicio_suspeito;termo_administrativo,DESTA IMPRENSA OFICIAL DO ESTADO DO RIO DE JANEIRO - IOERJ,DESTA IMPRENSA OFICIAL DO ESTADO DO RIO DE JANEIRO - IOERJ,RJ,2025-05-07,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFVSWk1rNXFhekZOVkZGMFRtdFZNRkpwTURCTmEwMTVURlJyTTFGVldYUk9hbEpHVFdwSk5WRlZVa2RSVkVreVRWUmpNMDU2VlhoT2FrVXdUVkU5UFE9PQ==,LAKE\RJ\2025\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-05-07.md,saida\RJ\DOERJ_2025.csv,6361
inicio_suspeito;termo_administrativo,DESTA IMPRENSA OFICIAL DO ESTADO DO RIO DE JANEIRO - IOERJ,DESTA IMPRENSA OFICIAL DO ESTADO DO RIO DE JANEIRO - IOERJ,RJ,2025-05-07,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFVSWk1rNXFhekZOVkZGMFRtdFZNRkpwTURCTmEwMTVURlJyTTFGVldYUk9hbEpHVFdwSk5WRlZVa2RSVkVreVRWUmpNMDU2VlhoT2FrVXdUVkU5UFE9PQ==,LAKE\RJ\2025\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-05-07.md,saida\RJ\DOERJ_2025.csv,6362
termo_administrativo,AUDITOR FISCAL,AUDITOR FISCAL,RJ,2025-05-05,exoneracao,do cargo em comissão de Assistente,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWxSWk0xRlVVVFJOZW10MFQxVkpNazE1TURCUmFrWkdURlJzUlUwd1NYUk9SRWt3VVdwc1JrMXJWWHBPZWxsNlRWUmpNMDU2VlhoT2FrVXpUVkU5UFE9PQ==,LAKE\RJ\2025\05\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-05-05.md,saida\RJ\DOERJ_2025.csv,6459
inicio_suspeito;termo_administrativo,DESTA IMPRENSA OFICIAL DO ESTADO DO RIO DE JANEIRO - IOERJ,DESTA IMPRENSA OFICIAL DO ESTADO DO RIO DE JANEIRO - IOERJ,RJ,2025-04-25,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSV1JGRXdXVFJOYTBWMFVXcHNSazU1TURCU2EwVXhURlJyZUU5VlRYUk9hMHBEVFdwUk1FNTZaM3BTVkZaR1RWUmpNMDU2VlhoT2Fra3dUa0U5UFE9PQ==,LAKE\RJ\2025\04\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-04-25.md,saida\RJ\DOERJ_2025.csv,6583
inicio_suspeito;termo_administrativo,SERVIDOR PARA A FUNÇÃO DE GERENTE EXECUTIVO DOS CONVÊNIOS FIRMADOS NO ÂMBITO DA,SERVIDOR PARA A FUNÇÃO DE GERENTE EXECUTIVO DOS CONVÊNIOS FIRMADOS NO ÂMBITO DA,RJ,2025-04-08,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG1wb1IxRnFWa1JPVkZGMFRVUlplVTlUTURCU1JWRjZURlZKZDA1clRYUk9hbU0wVFVWUk5FMUVUVFJSVkdzelRWUmpNMDU2VlhoT2FsRjRUV2M5UFE9PQ==,LAKE\RJ\2025\04\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-04-08.md,saida\RJ\DOERJ_2025.csv,6863
inicio_suspeito,Á LVA R O CANDIDO COSTA DE OLIVEIRA,Á LVA R O CANDIDO COSTA DE OLIVEIRA,RJ,2025-04-01,exoneracao,do cargo em comissão de Ajudante I,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFVSa1ExRjZSVE5QUkVWMFVXdEpNazE1TURCU2EwcEdURlJuTlU5VlJYUlNhMHBHVFhwR1ExSlVSa05SVkVWNFRWUmpNMDU2VlhoT2FsRTFUbmM5UFE9PQ==,LAKE\RJ\2025\04\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-04-01.md,saida\RJ\DOERJ_2025.csv,7077
tem_numero;termo_administrativo,AUDITOR FISCAL DA RECEITA ESTADUAL 1ª CATEGORIA,AUDITOR FISCAL DA RECEITA ESTADUAL 1ª CATEGORIA,RJ,2025-03-31,exoneracao,do cargo em comissão de Coordenador,da Superintendência de Arrecadação,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFZSSk5GRjZUa0pTVlVsMFRsUkpORTVUTURCU1JGbDVURlZKTVZGcVFYUk9SRlpFVDFSamVWSlVVVFJSTUVwQ1RWUmpNMDU2VlhoT2FsVjNUMEU5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-31.md,saida\RJ\DOERJ_2025.csv,7110
inicio_suspeito;frase_administrativa;termo_administrativo,SERVIDORES PARA OS CARGOS EM COMISSÃO,SERVIDORES PARA OS CARGOS EM COMISSÃO,RJ,2025-03-31,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFZSSk5GRjZUa0pTVlVsMFRsUkpORTVUTURCU1JGbDVURlZKTVZGcVFYUk9SRlpFVDFSamVWSlVVVFJSTUVwQ1RWUmpNMDU2VlhoT2FsVjNUMEU5UFE9PQ==,LAKE\RJ\2025\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-03-31.md,saida\RJ\DOERJ_2025.csv,7128
