motivo_rejeicao,nome_original_csv,nome_limpo,estado,data_publicacao,tipo_ato,cargo,orgao,fonte_url,arquivo_markdown,arquivo_csv,linha_csv
termo_administrativo,LOTADO NO GABINETE DA PRESIDÊNCIA - GABIN,LOTADO NO GABINETE DA PRESIDÊNCIA - GABIN,RJ,2025-01-23,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwQk0wMXFVVEJQUkdkMFRYcFdSRTVwTURCU2FrazFURlJyTlZKVVJYUk5hMVUwVFhwV1IxSkZTVEpOYW1OM1RWUmpNMDU2VlhoT2VrazFUMUU5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-23.md,saida\RJ\DOERJ_2025.csv,8890
tem_numero;muito_longo,CONTRATOS E POLÍTICAS INTERNAS - SUADE. (REFERÊNCIA: PROC SEI-220002/000163/2024),CONTRATOS E POLÍTICAS INTERNAS - SUADE. (REFERÊNCIA: PROC SEI-220002/000163/2024),RJ,2025-01-23,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwQk0wMXFVVEJQUkdkMFRYcFdSRTVwTURCU2FrazFURlJyTlZKVVJYUk5hMVUwVFhwV1IxSkZTVEpOYW1OM1RWUmpNMDU2VlhoT2VrazFUMUU5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-23.md,saida\RJ\DOERJ_2025.csv,8891
inicio_suspeito;termo_administrativo,VINCULADO À DIRETORIA COMERCIAL - DICOM,VINCULADO À DIRETORIA COMERCIAL - DICOM,RJ,2025-01-22,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwb1JrOVVVVE5SZW1OMFVYcFJNazFwTURCU1JGcEZURlJzUkU1VlNYUlJla1Y0VVZWT1IwMXFSa0pTYWs1RlRWUmpNMDU2VlhoT2VrMTVUbEU5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-22.md,saida\RJ\DOERJ_2025.csv,8928
termo_administrativo,LOTADA NA GERÊNCIA DE COMUNICAÇÃO - GECOM,LOTADA NA GERÊNCIA DE COMUNICAÇÃO - GECOM,RJ,2025-01-22,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwb1JrOVVVVE5SZW1OMFVYcFJNazFwTURCU1JGcEZURlJzUkU1VlNYUlJla1Y0VVZWT1IwMXFSa0pTYWs1RlRWUmpNMDU2VlhoT2VrMTVUbEU5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-22.md,saida\RJ\DOERJ_2025.csv,8929
inicio_suspeito;termo_administrativo,VINCULADA À GERÊNCIA DE COMUNICAÇÃO - GECOM,VINCULADA À GERÊNCIA DE COMUNICAÇÃO - GECOM,RJ,2025-01-22,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwb1JrOVVVVE5SZW1OMFVYcFJNazFwTURCU1JGcEZURlJzUkU1VlNYUlJla1Y0VVZWT1IwMXFSa0pTYWs1RlRWUmpNMDU2VlhoT2VrMTVUbEU5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-22.md,saida\RJ\DOERJ_2025.csv,8930
termo_administrativo,LOTADA NA GERÊNCIA DE COMUNICAÇÃO - GECOM,LOTADA NA GERÊNCIA DE COMUNICAÇÃO - GECOM,RJ,2025-01-22,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwb1JrOVVVVE5SZW1OMFVYcFJNazFwTURCU1JGcEZURlJzUkU1VlNYUlJla1Y0VVZWT1IwMXFSa0pTYWs1RlRWUmpNMDU2VlhoT2VrMTVUbEU5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-22.md,saida\RJ\DOERJ_2025.csv,8931
inicio_suspeito;termo_administrativo,VINCULADA À GERÊNCIA DE COMUNICAÇÃO - GECOM,VINCULADA À GERÊNCIA DE COMUNICAÇÃO - GECOM,RJ,2025-01-22,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwb1JrOVVVVE5SZW1OMFVYcFJNazFwTURCU1JGcEZURlJzUkU1VlNYUlJla1Y0VVZWT1IwMXFSa0pTYWs1RlRWUmpNMDU2VlhoT2VrMTVUbEU5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-22.md,saida\RJ\DOERJ_2025.csv,8932
inicio_suspeito;frase_administrativa;termo_administrativo,EM VAGA PREVISTA PELO,EM VAGA PREVISTA PELO,RJ,2025-01-21,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG5wSk1VMUVWVEZOYWxGMFRVVkpOVTVETURCU1ZHeEdURlJuZVZKVldYUlJla3BHVGtScmVVOUZWa1ZSYWxVMVRWUmpNMDU2VlhoT2VrMHdUa0U5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-21.md,saida\RJ\DOERJ_2025.csv,8941
inicio_suspeito,POR VIA DE CONSEQUÊNCIA,POR VIA DE CONSEQUÊNCIA,RJ,2025-01-15,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFZSQk0wNTZVa0pSTUVsMFVsUnNRMDFUTURCU2ExVXdURlJuTWs1NlVYUlJhMVYzVFRCVk1FNTZRVFJTYTA1RlRWUmpNMDU2VlhoT2VrMDBUVkU5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-15.md,saida\RJ\DOERJ_2025.csv,9079
termo_administrativo,ASSISTENTE TÉCNICO DE TRÂNSITO,ASSISTENTE TÉCNICO DE TRÂNSITO,RJ,2025-01-10,exoneracao,,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwamVGSkVZek5OUkdkMFRUQkpNRTlETURCTlZGWkVURlJyZDA0d1ZYUk5WVmt6VVZSbmVGSkVRWGhSTUUwMVRWUmpNMDU2VlhoUFJFVXhUa0U5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-10.md,saida\RJ\DOERJ_2025.csv,9208
termo_administrativo,ASSISTENTE TÉCNICO DE TRÂNSITO,ASSISTENTE TÉCNICO DE TRÂNSITO,RJ,2025-01-10,exoneracao,,do Departamento de Trânsito do Es- tado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwamVGSkVZek5OUkdkMFRUQkpNRTlETURCTlZGWkVURlJyZDA0d1ZYUk5WVmt6VVZSbmVGSkVRWGhSTUUwMVRWUmpNMDU2VlhoUFJFVXhUa0U5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-10.md,saida\RJ\DOERJ_2025.csv,9209
inicio_suspeito,POR MOTIVO DE DESISTÊNCIA DURANTE ESTÁGIO PROBATÓRIO,POR MOTIVO DE DESISTÊNCIA DURANTE ESTÁGIO PROBATÓRIO,RJ,2025-01-09,exoneracao,do cargo de provimento efetivo de Especialista em Regulação do Quadro Permanente da Agência Reguladora de Energia e Saneamento Básico do Estado do Rio de Janeiro - AGENERSA,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtSVk5GSlZSVEpSVkdkMFRrUmpORTFUTURCUmEwbDNURlJvUmxGcWEzUlJNRVUxVFVWT1ExRlVUVEJTYW1zeFRWUmpNMDU2VlhoUFJFVTBUWGM5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-09.md,saida\RJ\DOERJ_2025.csv,9262
inicio_suspeito;frase_administrativa;termo_administrativo;muito_longo,SERVIDORES EM CARGOS COMISSIONADOS; V - SOLICITAR A CESSÃO E DEVOLUÇÃO DE SERVIDORES,SERVIDORES EM CARGOS COMISSIONADOS; V - SOLICITAR A CESSÃO E DEVOLUÇÃO DE SERVIDORES,RJ,2025-01-09,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGtSVk5GSlZSVEpSVkdkMFRrUmpORTFUTURCUmEwbDNURlJvUmxGcWEzUlJNRVUxVFVWT1ExRlVUVEJTYW1zeFRWUmpNMDU2VlhoUFJFVTBUWGM5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-09.md,saida\RJ\DOERJ_2025.csv,9319
inicio_suspeito,POR RECONDUÇÃO,POR RECONDUÇÃO,RJ,2025-01-07,nomeacao,para exercer o cargo de Conselheiro,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwck0wNVVRa1ZSVlZGMFRqQlZNRTVwTURCUFJVMTNURlZLUjA1VVZYUk5WRWw2VVZSQmVVNXFhekpSYWxKR1RWUmpNMDU2VlhoUFJFbDZUWGM5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-07.md,saida\RJ\DOERJ_2025.csv,9408
termo_administrativo,ASSISTENTE TÉCNICO ADMINISTRATIVO,ASSISTENTE TÉCNICO ADMINISTRATIVO,RJ,2025-01-03,exoneracao,,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFdwS1ExSlVRa2ROZWxGMFRrUnNSVkpETURCT2FsSkhURlZKTUZKRldYUk5hMUY0VG5wa1IwNXJTWGROUlZWM1RWUmpNMDU2VlhoUFJGbDRUMUU5UFE9PQ==,LAKE\RJ\2025\01\DOERJ_PARTE_I_PODER_EXECUTIVO_2025-01-03.md,saida\RJ\DOERJ_2025.csv,9499
inicio_suspeito;termo_administrativo,POR NÃO CONTAR COM ESSES PROFISSIONAIS NO QUADRO FUNCIONAL DESTA UNIDADE,POR NÃO CONTAR COM ESSES PROFISSIONAIS NO QUADRO FUNCIONAL DESTA UNIDADE,RJ,2026-04-22,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFRCSmQwNXJXVE5SVkVGMFRVUm5ORkY1TURCTmFtTjVURlJuZUU1clNYUk5WRTB4VFdwbk0xRlVXa05TYWtKR1RWUmpNMDU2VlhkT2FtY3hUbmM5UFE9PQ==,LAKE\RJ\2026\04\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-04-22.md,saida\RJ\DOERJ_2026.csv,345
termo_administrativo,R E N ATO RODRIGUES BARTHOLOMEU VIEIRA,R E N ATO RODRIGUES BARTHOLOMEU VIEIRA,RJ,2026-04-16,exoneracao,do cargo em comissão de Assistente II,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVdwV1IwNXFhekJPZWxWMFQxUkpNMDVUTURCUlZWa3lURlJyZDA1cldYUlBWR3N4VVZWUmVVMHdVWHBSVlZGNFRWUmpNMDU2VlhkT2VrazFUVUU5UFE9PQ==,LAKE\RJ\2026\04\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-04-16.md,saida\RJ\DOERJ_2026.csv,719
termo_administrativo,R E N ATO GARCIA DE OLIVEIRA,R E N ATO GARCIA DE OLIVEIRA,RJ,2026-04-15,exoneracao,do cargo em comissão de Assistente,da Superintendência Técnica de Infraestrutura e Logística,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG1wS1JGRlVXWGROZWxsMFQwUkplazlETURCUFZWSkNURlZKTlZKRldYUk5SVVV3VG10SmVrNUZXa1pTVlZrMFRWUmpNMDU2VlhkT2VrMTRUVkU5UFE9PQ==,LAKE\RJ\2026\04\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-04-15.md,saida\RJ\DOERJ_2026.csv,887
inicio_suspeito,OS POLICIAIS DA RESERVA REMUNERADA EMPREGADOS NO PROGRAMA TAREFA POR TEMPO CERTO,OS POLICIAIS DA RESERVA REMUNERADA EMPREGADOS NO PROGRAMA TAREFA POR TEMPO CERTO,RJ,2026-04-07,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wT1FrOVVXVEJQVkZsMFQxUkNSazU1TURCUFJWa3hURlJzUTAxVVkzUlJlbEpIVWxSa1JrMUVhRU5TUkVFMFRWUmpNMDU2VlhkUFJFRXhUVUU5UFE9PQ==,LAKE\RJ\2026\04\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-04-07.md,saida\RJ\DOERJ_2026.csv,1111
inicio_suspeito;frase_administrativa;termo_administrativo,EM VAGA RESULTANTE DA TRANSFORMAÇÃO ESTABELECIDA PELO,EM VAGA RESULTANTE DA TRANSFORMAÇÃO ESTABELECIDA PELO,RJ,2026-03-25,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWtWV1ExSkVaM2RPVkVsMFVYcFpOVTFwTURCU2FsWkdURlJvUjFKRlZYUlNWRVpDVVZWUk0wMXJUVE5SVkVFMVRWUmpNMDU2VlhkUFJGbDZUbEU5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-25.md,saida\RJ\DOERJ_2026.csv,1324
inicio_suspeito;termo_administrativo,CONFORME PRECEITUA O,CONFORME PRECEITUA O,RJ,2026-03-23,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wQ1IwNTZSVE5SYTFsMFRWUkJNazVwTURCT01Fa3dURlJzUmxKVlVYUlBWR1JEVFdwc1IwNHdXWGROZWtFeFRWUmpNMDU2VlhkUFJHdDZUWGM5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-23.md,saida\RJ\DOERJ_2026.csv,1583
termo_administrativo,(UM) SERVIDOR PARA,(UM) SERVIDOR PARA,RJ,2026-03-23,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wQ1IwNTZSVE5SYTFsMFRWUkJNazVwTURCT01Fa3dURlJzUmxKVlVYUlBWR1JEVFdwc1IwNHdXWGROZWtFeFRWUmpNMDU2VlhkUFJHdDZUWGM5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-23.md,saida\RJ\DOERJ_2026.csv,1584
tem_numero;inicio_suspeito;frase_administrativa;termo_administrativo;muito_longo,VINCULADA À GERÊNCIA DE GESTÃO DE RISCOS CORPORATIVOS - GERCO. PROCESSO Nº SEI-220002/000482/2026,VINCULADA À GERÊNCIA DE GESTÃO DE RISCOS CORPORATIVOS - GERCO. PROCESSO Nº SEI-220002/000482/2026,RJ,2026-03-20,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVhwR1EwNUZWVEJSYTBsMFQxVk5kMDlUTURCTk1Fa3hURlZKZWxKRlJYUk5NRkpEVVZWRk1sRXdUWGRPVlZWM1RWUmpNMDU2VlhkUFZFRTBUbmM5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-20.md,saida\RJ\DOERJ_2026.csv,1729
menos_de_2_tokens;tem_numero,SEI-210001/035420/2026. ID: 2722731 ##,SEI-210001/035420/2026,RJ,2026-03-20,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVhwR1EwNUZWVEJSYTBsMFQxVk5kMDlUTURCTk1Fa3hURlZKZWxKRlJYUk5NRkpEVVZWRk1sRXdUWGRPVlZWM1RWUmpNMDU2VlhkUFZFRTBUbmM5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-20.md,saida\RJ\DOERJ_2026.csv,1730
tem_numero;frase_administrativa;termo_administrativo,ID: 51536609; ESTE PROFISSIONAL NA UNIDADE. PROCESSO Nº SEI-210001/034834/2026 ID: 2722700 ##,ID: 51536609; ESTE PROFISSIONAL NA UNIDADE. PROCESSO Nº SEI-210001/034834/2026,RJ,2026-03-20,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVhwR1EwNUZWVEJSYTBsMFQxVk5kMDlUTURCTk1Fa3hURlZKZWxKRlJYUk5NRkpEVVZWRk1sRXdUWGRPVlZWM1RWUmpNMDU2VlhkUFZFRTBUbmM5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-20.md,saida\RJ\DOERJ_2026.csv,1731
menos_de_2_tokens;tem_numero,35. ID: 2722663 ##,35,RJ,2026-03-20,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVhwR1EwNUZWVEJSYTBsMFQxVk5kMDlUTURCTk1Fa3hURlZKZWxKRlJYUk5NRkpEVVZWRk1sRXdUWGRPVlZWM1RWUmpNMDU2VlhkUFZFRTBUbmM5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-20.md,saida\RJ\DOERJ_2026.csv,1732
inicio_suspeito;frase_administrativa;termo_administrativo,EM VAGA RESULTANTE ÇÃO ESTABELECIDA PELO,EM VAGA RESULTANTE ÇÃO ESTABELECIDA PELO,RJ,2026-03-13,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG10Uk5VMUZSVEZTUlZsMFRucEZOVTFUTURCTmFteEhURlJvUlU1clZYUk9SRWt6VFhwb1IwOVZTVEpOUlVsNFRWUmpNMDU2VlhkUFZHZDVUa0U5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-13.md,saida\RJ\DOERJ_2026.csv,2088
termo_administrativo,ID FUNCIONAL,ID FUNCIONAL,RJ,2026-03-13,exoneracao,do cargo símbolo DAS-8,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG10Uk5VMUZSVEZTUlZsMFRucEZOVTFUTURCTmFteEhURlJvUlU1clZYUk9SRWt6VFhwb1IwOVZTVEpOUlVsNFRWUmpNMDU2VlhkUFZHZDVUa0U5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-13.md,saida\RJ\DOERJ_2026.csv,2099
termo_administrativo,ASSISTENTE TÉCNICO DE TRÂNSITO,ASSISTENTE TÉCNICO DE TRÂNSITO,RJ,2026-03-10,exoneracao,,do Departamento de Trânsito do Estado do Rio de Janeiro - DETRAN/RJ,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDBWWmVrOUZUa1JSYWtsMFVYcEtRMDFwTURCT1ZWVTFURlJuTUUxRlRYUk9WVmswVWtSVk5WSnFUa1JQUkZVeFRWUmpNMDU2VlhkUFZHczBUbmM5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-10.md,saida\RJ\DOERJ_2026.csv,2227
inicio_suspeito;frase_administrativa;termo_administrativo,EM VAGA RESULTANTE DA TRANSFORMAÇÃO ESTABELECIDA PELO,EM VAGA RESULTANTE DA TRANSFORMAÇÃO ESTABELECIDA PELO,RJ,2026-03-06,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VGxSS1ExRnFXa1JSYWxGMFVYcENRMUY1TURCUFJWbDRURlJvUWs1clRYUlJWVTVGVGxSTk0wNTZSa0pOYWs1R1RWUmpNMDU2VlhoTlJFVTFUVUU5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-06.md,saida\RJ\DOERJ_2026.csv,2408
tem_numero;frase_administrativa;termo_administrativo,03 (TRÊS) SERVIDORES LOTADOS NA DIRETORIA PARA COMPOR A COMISSÃO ESPECIAL,03 (TRÊS) SERVIDORES LOTADOS NA DIRETORIA PARA COMPOR A COMISSÃO ESPECIAL,RJ,2026-03-05,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWxSYVJrNVZVa1JTUkZGMFVWUmFSazVwTURCUk1FVXpURlJuTVU1VlVYUlBSVmt6VVd0Vk5GSkZXWHBTUkZwRFRWUmpNMDU2VlhoTlJFMTRUVUU5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-05.md,saida\RJ\DOERJ_2026.csv,2480
inicio_suspeito;termo_administrativo,VINCULADO À SUPERINTENDÊNCIA DE GESTÃO DE RISCOS - SURID,VINCULADO À SUPERINTENDÊNCIA DE GESTÃO DE RISCOS - SURID,RJ,2026-03-04,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG5wT1IwMVVhRUpOUlVsMFVWUnNSazVUTURCUmFscEZURlZGTTA1RVozUlJWR1JGVWtWUk5GSlVhelJSVkZKRlRWUmpNMDU2VlhoTlJGRjZUVUU5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-04.md,saida\RJ\DOERJ_2026.csv,2533
inicio_suspeito;frase_administrativa;termo_administrativo,EM VAGA RESULTANTE DA TRANSFORMAÇÃO ESTABELECIDA PELO,EM VAGA RESULTANTE DA TRANSFORMAÇÃO ESTABELECIDA PELO,RJ,2026-03-09,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VVRCSk5GRnFiRVJSVlZGMFVrVkplRTFUTURCUmFrWkRURlJvUkU1RldYUlBSR3N4VG1wc1JVMXJTa1pQVkZKR1RWUmpNMDU2VlhoTlZHTjZUMEU5UFE9PQ==,LAKE\RJ\2026\03\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-03-09.md,saida\RJ\DOERJ_2026.csv,3013
inicio_suspeito;frase_administrativa;termo_administrativo,EM VAGA RESULTANTE DA TRANSFORMAÇÃO ESTABELECIDA PELO,EM VAGA RESULTANTE DA TRANSFORMAÇÃO ESTABELECIDA PELO,RJ,2026-02-23,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VG1wSk1FNUZSVFZOVkdkMFVXdFNRMUpETURCTlZHeERURlZKZDFGNldYUk5hazVEVVRCTmVsSlVZelJPYWxKR1RWUmpNMDU2VlhoTlZHYzBUMEU5UFE9PQ==,LAKE\RJ\2026\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-02-23.md,saida\RJ\DOERJ_2026.csv,3066
tem_numero;inicio_suspeito;frase_administrativa;termo_administrativo;muito_longo,VINCULADA À GERÊNCIA DE ATENDIMENTO AO CLIENTE - GERAC. PROCESSO Nº SEI- 220002/000412/2026,VINCULADA À GERÊNCIA DE ATENDIMENTO AO CLIENTE - GERAC. PROCESSO Nº SEI- 220002/000412/2026,RJ,2026-02-11,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFZSR1EwMHdWWGhPVkUxMFRYcEdRMDFETURCT1ZHUkdURlZGZWxGcVJYUk9lbXQ1VG1wbk5WSkVXa1ZSYTFVd1RWUmpNMDU2VlhoTlZHc3lUbmM5UFE9PQ==,LAKE\RJ\2026\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-02-11.md,saida\RJ\DOERJ_2026.csv,3247
frase_administrativa;termo_administrativo,ATRAVÉS DE ATO PRÓPRIO PUBLICADO NO DIÁRIO OFICIAL DO ESTADO,ATRAVÉS DE ATO PRÓPRIO PUBLICADO NO DIÁRIO OFICIAL DO ESTADO,RJ,2026-02-09,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VFhwVk1rNUZWWGxSZWtsMFRXdEtSazVETURCT1JHTjNURlZLUkU5RlZYUlJla0pHVFdwSk1VMUVRVFZSZWswMVRWUmpNMDU2VlhoTmFrRjNUVkU5UFE9PQ==,LAKE\RJ\2026\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-02-09.md,saida\RJ\DOERJ_2026.csv,3294
frase_administrativa;termo_administrativo,ATRAVÉS DE ATO PRÓPRIO PUBLICADO NO DIÁRIO OFICIAL,ATRAVÉS DE ATO PRÓPRIO PUBLICADO NO DIÁRIO OFICIAL,RJ,2026-02-05,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VDFSU1EwNUVSVFJQVlZGMFRVVldSVTlETURCUlZGRTBURlZKZWs5RVFYUk5SVkUwVDBSc1JsSkZVVEpPZW1zMVRWUmpNMDU2VlhoTmFrRXhUbWM5UFE9PQ==,LAKE\RJ\2026\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-02-05.md,saida\RJ\DOERJ_2026.csv,3401
termo_administrativo,LOTADA NA GERÊNCIA DE OPERAÇÕES ESTRUTURADAS - GEOPE,LOTADA NA GERÊNCIA DE OPERAÇÕES ESTRUTURADAS - GEOPE,RJ,2026-02-04,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wWmVrNUVaRVJOYTFWMFRWVkZOVTVETURCUFJVVXhURlZLUjAxVVVYUlBSVkV3VVZWS1FsSkZTVEJSVkVVeFRWUmpNMDU2VlhoTmFrVjNUMUU5UFE9PQ==,LAKE\RJ\2026\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-02-04.md,saida\RJ\DOERJ_2026.csv,3437
tem_numero;inicio_suspeito;frase_administrativa;termo_administrativo;muito_longo,VINCULADA À GERÊNCIA DE OPERAÇÕES ESTRUTURADAS - GEOPE. PROCESSO Nº SEI- 220002/000413/2026,VINCULADA À GERÊNCIA DE OPERAÇÕES ESTRUTURADAS - GEOPE. PROCESSO Nº SEI- 220002/000413/2026,RJ,2026-02-04,nomeacao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VW1wWmVrNUVaRVJOYTFWMFRWVkZOVTVETURCUFJVVXhURlZLUjAxVVVYUlBSVkV3VVZWS1FsSkZTVEJSVkVVeFRWUmpNMDU2VlhoTmFrVjNUMUU5UFE9PQ==,LAKE\RJ\2026\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-02-04.md,saida\RJ\DOERJ_2026.csv,3438
inicio_suspeito;termo_administrativo,VINCULADA À GECLA - GERÊNCIA DE CONTRATOS E LICITAÇÕES,VINCULADA À GECLA - GERÊNCIA DE CONTRATOS E LICITAÇÕES,RJ,2026-02-02,exoneracao,,,https://www.ioerj.com.br/portal/modules/conteudoonline/mostra_edicao.php?session=VWtSck5GSkVSa1pTYTFGMFVXcG9SbEZUTURCT1ZGWkNURlJzUkZGVVozUlNSVlpFVGtSQk1VMXFhRUpOUkZaR1RWUmpNMDU2VlhoTmFrVXlUVkU5UFE9PQ==,LAKE\RJ\2026\02\DOERJ_PARTE_I_PODER_EXECUTIVO_2026-02-02.md,saida\RJ\DOERJ_2026.csv,3543
